Winary Name,Winary Description,Winary Image Link,Winary Rating,Winary Location
Winery Kuvin,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://plus.unsplash.com/premium_photo-1663088721462-a4e2c799072d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,42.009483499999995 21.351240999999998
Winery Kartal,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://images.unsplash.com/photo-1558241665-f0512695d322?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.9,41.962433999999995 21.4763996
Winery Popova kula,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://plus.unsplash.com/premium_photo-1683121278910-3d4b21e2a381?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.5,41.410885 22.226564999999997
Vardar Winery & Wines,A charming winery featuring award-winning Cabernet Sauvignon and Merlot wines.,https://images.unsplash.com/photo-1598306442837-613a3def54ff?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,41.9929627 21.4158512
Royal winery Queen Maria,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://plus.unsplash.com/premium_photo-1663133600411-a10eeef32810?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.6,41.4140987 22.233366
Family Winery Peckov,A century-old winery producing traditional and well-aged red and white wines.,https://images.unsplash.com/photo-1574588119566-e838853589ab?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.6,41.4257402 22.0039119
Brzanov,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://plus.unsplash.com/premium_photo-1663099943934-e237825dac9c?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTN8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.9,41.9856456 21.5171839
Zaharchev Winery and Distillery,Experience the rich history and premium wines at this renowned winery.,https://images.unsplash.com/photo-1558565851-10a41b286adb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTV8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.4360468 22.0048696
Filovski Winery,A family-owned winery known for its exceptional red wines and scenic vineyards.,https://images.unsplash.com/photo-1596991456771-234e380e63bd?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.9922146 21.434292199999998
Sarika Winery,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://images.unsplash.com/photo-1605718315811-712fd8297140?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.3403377 21.5624017
S&S Winery,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://images.unsplash.com/photo-1603657289433-e4983d2114b9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.1384154 20.7757859
